Product name,Product price,Product description,Product shipping,Product details,Product review,Product rating
"['Smart Plug WiFi Outlet Works with Alexa, Google Home, Gosund Smart Socket No Hub Required, ETL and FCC Listed, Remote Control Your devices from Anywhere (4 Pack)']","['CDN$39.99', 'Information Not Found']",['Information Not Found'],"[Free Shiping]","['Voice Control: Works with Alexa, Google Home, directly to manage your home appliances with smart plugs through Voice Control. (Only support 2.4Ghz Wifi)Remote Control: When you are not at home, plug in a Gosund Smart Outlet and connect with Gosund, you can power-on/off your electronics such as lamps,fans,fish tank via your mobile phone, whenever, wherever. Never come home to a dark houseSchedule and Timer: The wifi Plug can customized to automatically turn on and off home appliances by setting a schedule or setting a timer. You can pre-set coffee maker and enjoy a fresh coffee every morning. Sync lamps and devices to sunrise, sunsetCreate Group&Device share: Create a group for all Wireless Sockets and control them all in one command. Share the home devices to all family members in a minute. Compatible with IOS 8 or above & Android 4.4 or aboveServices Support: Gosund smart plug is backed by lifetime unconditional service. Any problem, please do not hesitate to contact us, all email will reply within 24hours.›See more product details']","['854', '854']","['4.4', '4.4']"

"['Smart Plug Mini WiFi Outlet Wireless Socket Compatible with Echo Alexa/Google Home, Aigital WiFi Plug with Remote Control and Timer Function, No Hub Required |2 Pack|']","['Information Not Found', 'CDN$30.99']",['Information Not Found'],"[FREE on First Order]","['☺【SMART VOICE COMMAND】: This wifi smart outlet works with Alexa and Google Home to achieve voice control your home electric appliances without limitation.☺【CONVENIENT REMOTE CONTROL】: Use a free APP 【Smart Life】 to control it, you can turn on or turn off your home electronics anywhere and anytime, more convenient and more freely.☺【SMART TIMER SCHEDULE AND SCENARIO】: With Timer function, you can create schedules timer or countdown for your connected devices; You can also create scenario or automation for more devices.☺【EASY TO SHARE AND OPERATE】: Once you set it up on your phone, you can share the devices to your families so they can use it directly and no need to set up again.☺【MAKE LIFE MORE WONDERFUL】: Easily turn your traditional electric equipments to smart devices to make your life more wonderful and convenient. One phone in hand and you will have whole world.']","['5', '5']","['4.2', '4.2']"

"['WiFi Smart Plug Socket Mini Wireless Outlet Compatible with Echo Alexa Google Home, Aigital Wi-Fi Plug with Remote Control and Timer Function, No Hub Required (10A Max Supported)']","['Information Not Found', 'CDN$20.99']",['Information Not Found'],"[FREE on First Order]","['【Voice Control】: This wifi smart outlet works with Alexa and Google Home to achieve voice control your home electric appliances without limitation.【Remote Operation】: Use a free APP “ Smart Life ” to control it, you can turn on or turn off your home electronics anywhere and anytime, more convenient and more freely.【Smart Timer Schedule and Scenario】: With Timer function, you can create schedules timer or countdown for your connected devices; You can also create scenario or automation for more devices.【Easy to Share and Control】: Once you set it up on your phone, you can share the devices to your families so they can use it directly and no need to set up again.【Make Life More Wonderful】: Easily turn your traditional electric equipments to smart devices to make your life more wonderful and convenient. One phone in hand and you will have whole world.']","['17', '17']","['5.0', '5.0']"

"['smart socket with app control Smart plug, Mini Wifi Outlet Compatible with Alexa, Google Home & IFTTT, No Hub Required, Remote Control your home appliances from Anywhere, ETL Certified (one Piece)']","['Information Not Found', 'Information Not Found']","['Size\r\r\r\r\r\r:smallPlease Note: Please make sure you read the user manual before you use it. If you can not connect the plug with the ""Smart Life"" App, please uninstall it and then install the App again. If it still not work, please reboot your smartphone and try again, it will work most of the time. We recommend you to download the app through QR code in the package or user manual, if you want to download from Google Play Store or Apple Store, please make sure this App was produced by Tuya Inc. Manage your home, make your life easier! mini smart plug can help you to control your home electronic appliance remotely, by connecting app via your phone, you can easily control the device anywhere anytime. Make sure device can be powered off when not in use for electric power saving. By setting the time schedule, you can easily turn on or turn off based on specific time you set. It is a smart product for modern life and bring you more convenient. Set Up with Voice Control Device smart plug works great with Amazon Echo, Google Home . You can find the instruction about how to set up with them in the ""Smart Life"" App(In the ""Profile"" page, choose ""Integration"", and click ""Use Now"", then you can read the complete detail instructions) . Example for set up with Alexa: 1. Add Device 2. Modify Device Name 3. Set Up Alexa 4. Add Skill 5. Control Device Package: Smart WiFi Plug (with user manual) * 1 Tech Specifications: WIFI Requirement: 2.4Ghz Only Rated Voltage: 110-250V Rated Current: 10A Max Rated power: 1100W Working Temp: 0 ~ 40 ℃']",['Information Not Found'],"['Safety Design and Set Up Easily - The socket slot with Sliding Safety Cover will prevent children from inserting fingers or other objects into it.Simply plug Airydar mini outlet into an electrical outlet, connect a device to the Smart Plug, and wirelessly control your device using a tablet or phone. A secured 2.4GHz WiFi network is required.Remote Control - Control your electrical items via your phone whenever and wherever you are after downloading the FREE APP Smart Life as long as there is a network. Ideal for someone who can not move around very well and needs easy access to turn on/off a device.Voice Control and APP Control - No hub required, works with Amazon Alexa/Echo, Google Home/Assistant for voice control after connecting the power strip successfully , And if you out of home, you can remote Our Kussn Smart Plug with APP Control.Schedule & Timer - Get ready to have a smart home and create customized schedule to automatically turn on and off any home Electronics or appliances such as lamps, Christmas Lighting, coffee maker, etcSERVICE AND SUPPORT - If you encounter any problem or need further support, please feel free to contact us through E-mail or Amazon directly. We offer free replacement service anytime and for any reason if the plug is defective, please contact us whenever you encounter product issue.›See more product details']","['386', '386']","['4.1', '4.1']"

"['SONOFF Slampher R2 433MHz RF&WiFi Smart Lamp Bulb Holder for Smart Home, Compatible with Alexa and Google Assistant']","['CDN$19.99', 'Information Not Found']",['Information Not Found'],"[FREE on First Order]","['Smart remote control bulb holder: you can remotely control connected light bulbs on/off from anywhere at any time on your smart phone or tablet. It\'s no limit to the distance.Make normal light bulbs smart: You can make your normal bulb (with E27 screw base) smart by just using one SlampherR2. It’s the easy and efficient way to quickly make your bulb smart.2 remote control methods for your choose : you can turn on/off the connected lights via WiFi or 433MHz RF Remote control.LAN Control Feature: LAN control makes it possible to control bulbs under the no Wi-Fi connection condition.Works with Alexa: Link ""eWeLink Smart Home Fan"" skill. You can directly ask Amazon Echo/Echo Dot/Amazon Tap to turn on/off your Sonoff devices. Works With the Google Assistant: Link ""Smart We Link"" on Google Home app, start to voice control your Sonoff devices on Google Home.›See more product details']","['19', '19']","['4.7', '4.7']"

